venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
Mountain Marta Photography,45950ed9-be51-47eb-97f0-2acbb13efe3c,online,12,2025,Quote only,"couldn't get their pricing page to load and no packages are posted anywhere else i found, so this is inquire-only for now","- Vibe check only: one listing calls the style 'vibrant, true-to-life,' which lines up w/ the portfolio thumbnails - No packages posted anywhere, you'd have to reach out direct for a quote - Colorado Springs based, no hours/coverage specifics available yet",,launchintel digest,bot3,Colorado
MSW Photos (Matt Wilson),a78dc21e-4e68-482c-8b0f-87e3e7dfe875,online,1,2026,starts around $4k per WPJA,"no packages listed on the actual site, but a WPJA writeup pegs him starting around $4,000. site copy only mentions engagement/couples sessions, no hourly breakdown given","ok so matt's website itself barely has any pricing info on it lol, just some copy about engagement sessions (bring your pets if you want, cute detail). had to go find a WPJA blurb to get an actual number, which said he starts around 4k and has shot in 9 states so he clearly travels a lot. background is apparently in fashion/product photography and he leans on off camera lighting for golden hour type shots, which tracks w/ his site vibe. no reviews turned up so can't speak to how he actually is day of",,site /; launchintel digest,bot4,Colorado + destination
Nina Reed / Larsen Photo Co.,5ed84b04-5da0-41ad-a82b-f4a25e9741df,online,1,2025,"Starting around $5,500 per WPJA for micro weddings","WPJA lists her starting around $5,500. Site is built around Colorado Micro Wedding Collections (30-page and 20-page heirloom album tiers), with albums, engagement add-ons, and rehearsal coverage bolted on separately rather than bundled by default. She sends a full pricing guide only after an initial contact, then does a video call before booking, so there's a screening step before you see real numbers.","Spent a while on Nina's site because she has a whole elopement and micro-wedding angle that's different from most photographers we looked at. She's explicitly LGBTQ+ inclusive with a dedicated page on LGBTQ+ elopements, shoots a film and digital hybrid, and has apparently done 300+ weddings across the Rocky Mountains per WPJA. Turnaround is fast, sneak peeks within two days and the full gallery within six weeks, which is on the quicker end of what we've seen. One nice detail: no travel fee if your elopement is in Aspen. You do have to go through her contact form and a video call before getting real pricing though, it's not just posted up front.",,site /; launchintel digest,bot5,Colorado RICH:nina-reed-larsen-photo-co
"Photography: Family, Engagement, Wedding, Portrait etc.",0c2ff9e0-ae51-4f0e-9a96-5b8299958264,online,2,2025,Quote only,"no site to check pricing on at all (google listing only), and none of the three reviews we read mention a number. 15 reviews total at 5 stars though, which is a strong signal even without pricing","- Reviewer eloped in Truckee w/ 18 family/friends and said Marta made picking a package easy, asked good questions to get her creative ideas flowing - Another bride said the photos captured the day's vibrancy 'absolutely perfectly' and specifically leaned on Marta for day-of timing advice since they skipped a planner - A separate reviewer hired her for a surprise Father's Day family shoot, said she was great wrangling kids and turned around digital photos within a few days - No site, no pricing anywhere, New Castle based per the listing",,google reviews,bot6,Colorado
Photos by Elliot,278823e4-6083-4dfb-939b-7d33a48e841a,online,6,2025,"$2,800-$5,200 for 4/6/8-hour wedding coverage, elopements $2,200-$3,800","site has actual tiered pricing up front: 4-hour coverage $2,800, 6-hour $3,400, 8-hour $5,200 (the 8-hour is the full-day option, 700+ edited images, online gallery, delivery in 3 weeks). Elopement half-day (up to 4 hrs) is $2,200 and includes a location scouting consult, full day elopement is $3,800. There's also a small wedding/elopement mini session at $1,375 and a 35mm film add-on where pricing depends on film stock cost, inquire direct. Travel fees are case by case depending on where the wedding falls in the year, no flat number given. Non-refundable retainer required to hold the date, standard industry stuff.","Elliot (goes by Henry per the site, a little confusing) documentary-style, described as bold and colorful, been shooting weddings about 10 years. What stood out is the site actually publishes real numbers instead of making you ask, which was rare in our search. He also does custom packages for couples who don't fit a normal mold and specifically says he won't price gouge on travel, for whatever that's worth coming from the vendor themselves. Album design is optional, he'll just point you to a printer if you want to DIY it. No third-party reviews came up in our search so this is mostly straight from his own site.",,site /rates; site /pricing,bot7,Colorado RICH:photos-by-elliot
Roman Photography,cc7257a2-b78f-4069-ae95-c5136e6d0017,online,5,2025,Quote only,"- Site has a rates page but it's just a contact form, no actual numbers listed anywhere - All packages apparently include full print/usage rights per the site copy, but you have to fill out the form to get a dollar figure - No reviews found to cross check pricing against",,,launchintel digest; site /rates,bot9,Denver (no travel fee within Denver per site)
Sarah Godfrey Photography,f9d0dc1c-642e-4822-843b-f6366ea4c9a6,online,6,2026,Wedding collections start at $3800,"Site says wedding collections start at $3,800, with custom collections built for couples whose day doesn't fit a set tier, and payment plans available. No hourly breakdown or add-on list given beyond that starting figure.","Went down her site a bit and the style leans lighter and true to color, not overly warm or moody. Wedding collections start at $3,800 but she also builds custom ones and offers payment plans, which is a nice option if the full amount up front is a stretch. A lot of her portfolio examples are engagement sessions (saw one at Brainard Lake specifically), so if you want a preview of how she shoots before booking the wedding day, there's plenty to look at. No reviews came up in what we checked, so take the site's own framing with a grain of salt.",,site /investment; launchintel digest,bot10,Colorado
Savannah Chandler Photography,1a8c86d4-b4b4-4833-91c7-5d6f78ee7dff,online,6,2025,"Elopements $3,000-$10,500 by tier, single Wedding Collection price not listed on site","Elopement tiers are spelled out: Mini Local $3,000, Half Day $4,200, Full Day $7,000, Multi-Day $10,500. For actual weddings she only offers one Wedding Collection (no hourly tiers to compare), and the site doesn't publish that number, you'd need to inquire. Add-ons are flat $1,200 each regardless of type, covers an engagement session, a post-wedding hiking session, rehearsal dinner coverage, or an album. $1,300 retainer to book, balance due anytime up to 30 days before the wedding.","This one's interesting because she deliberately does ONE wedding collection instead of hourly tiers, her whole pitch is that hourly limits suck and she doesn't want you rushing your timeline to squeeze in photos. Elopement pricing is fully published though and ranges $3,000 to $10,500 depending on mini/half/full/multi-day. She's Colorado focused with a specific mountain elopement angle, her site literally points out that different parts of the state have different rules around elopement permits, which is a detail I hadn't thought about. Add-ons (engagement session, hiking session, rehearsal dinner, album) are all a flat $1,200 each, can be tacked on anytime, not just at booking.",,site /wedding-pricing; site /elopement-guides,bot11,Colorado (mountain focus) RICH:savannah-chandler-photography
Shelly M Photography,5d50b080-2ad5-430f-9e8a-ba166a76dc2d,online,11,2025,Quote only,"- Couldn't get their pricing page to load, nothing published that we could find - Only real signal is a style descriptor: 'airy but real life color' vibe - No reviews or packages to compare against",,,launchintel digest,bot12,Colorado
Stephanie Tod Photography,d9bfa45e-cb0e-4f5a-bac2-884da8ac2982,online,6,2026,"Recommended for the $1,500-$3,500 range","couldn't get their site to load to confirm packages directly, but a regional pricing digest flags her as a fit for couples in the $1,500-$3,500 range, no hourly or tier breakdown available","No luck loading her actual site, so this is secondhand: she's flagged in a broader pricing roundup as a good option if you're working with a $1,500-$3,500 budget, which is on the lower end of what we've seen for full wedding coverage around here. No packages, hours, or reviews to back that up further though, so worth confirming direct before you get your hopes up on that number.",,launchintel digest,bot13,Colorado
