venue,vendor_id,recon_type,month,year,price_text,price_details,notes,photos,sources,bot,service_region
Samantha Ruscher Photography,66ff7828-0edd-4116-b8c4-aa5362f89d58,online,5,2026,Quote only,couldn't find a pricing page for her anywhere so this is an inquire-for-rates situation,"-checked instagram (@samantha.ruscher.photo) since the site's a no-go,-one thing that stood out is she also shoots Super8 film which is a fun add-on if you want that grainy home-movie look mixed into your wedding coverage,-no pricing posted anywhere so you'd have to dm her",,google reviews; launchintel digest,bot1,Colorado
Sarah Arnold Photography,3a46c589-020c-41ff-b447-912a6a5fb8d1,online,4,2026,Quote only,"No pricing posted that we could find, so this is another inquire situation.","She has been documenting weddings since 2013 which is a solid stretch of experience. Her listing says she serves couples throughout Colorado and destinations nationwide so she is clearly used to traveling for a wedding. Based in Colorado Springs but not limited to it by the sound of things.",,google reviews; launchintel digest,bot13,Colorado + destination
Savannah Lauren Photography,75119ca5-f998-48ad-9726-73c2328d0d71,online,5,2025,Quote only,site never loaded a pricing section so no numbers to share here,"-instagram is @savannahlaurenphotography for anyone who wants to scroll her feed first,-the one thing our research turned up is she also does destination weddings so she is not limited to shooting locally,-would need to reach out directly for a quote",,google reviews; launchintel digest,bot14,Colorado + destination
Stephanie Mathena Photography,af30e3e2-2575-44a7-8952-9323074cca2d,online,9,2025,Starts at $338,"Listed as an affordable starting rate on her profile, though we could not find a full breakdown of what that covers hours-wise or what packages sit above it.","Denver based and her style is described as classic with a focus on scenery and color blocking, which sounds like she pays attention to composition and how outfits and backgrounds play together. $338 as a starting point is on the lower end for this area so worth asking exactly what that buys before you get excited.",,google reviews; launchintel digest,bot16,Colorado
Taryn Ashlee Photography,54e89808-eb21-44e0-b3ff-77192ef17b8f,online,4,2025,Quote only,nothing published on pricing so you'd have to message her directly for rates,"-instagram handle is @tarynashleephotography if you want to check her portfolio first,-not much else turned up in our search on this one so treat this as a starting point rather than a full picture",,google reviews; launchintel digest,bot17,Colorado
The Pic Chick,1693ba72-1365-4455-9874-831c1ce12e14,online,3,2026,"Starts at $2,700","Her profile lists a classic style starting around $2,700, and she has 18+ years of experience which is a lot of weddings under her belt. Description mentions a pressure-free approach to shoots.","-based in Thornton,-18+ years shooting means she has probably seen every kind of wedding day chaos and knows how to roll with it,-pressure-free approach sounds appealing if you get camera shy during posed shots,-would still confirm what the $2,700 starting price actually includes",,google reviews; launchintel digest,bot1,Colorado
The Twilight Photo & Film,96b9e20b-a7ec-4e63-a70d-359147bbfddf,online,6,2026,"Starts at $1,995","Editorial style starting around $1,995. They do photography and videography together, described as cinematic storytelling, so this is a good one to look at if you want a photo and video package from a single vendor instead of coordinating two separate people.","Went with photo and film both under one roof, which they lean into with a cinematic angle. Based in Colorado Springs. Starting price of $1,995 for a combined photo plus video package would actually be pretty reasonable if that holds for a full wedding day, though we would confirm what hours and deliverables are included before booking.",,google reviews; launchintel digest,bot2,Colorado
The Wild Phern,c19c0198-4fae-437d-af79-d7643bbd1338,online,6,2025,Quote only,"no published rates, but there was mention of a special running for Colorado couples specifically which is worth asking about when you inquire.","-in the middle of relocating to Colorado per our research, so double check current availability and home base before booking a date far out,-style described as vibrant which tracks with the instagram handle @thewildphern,-the Colorado couples special is the one concrete lead here, ask about it directly",,google reviews; launchintel digest,bot3,Colorado
Tilted Frame Photography & Design,9061908e-c689-44a1-8ea0-be4c1160c4c9,online,1,2026,"Starts at $2,200","Fine art style with a starting price around $2,200. Description emphasizes storytelling and genuine moments, and they cover both full weddings and elopements.","-Denver based,-fine art label plus 'genuine moments' framing suggests posed-but-natural rather than strict documentary,-covers both full weddings and elopements so worth asking which package fits a smaller ceremony if that is the plan,-$2,200 starting point but confirm hours and what's included before assuming that covers a full day",,google reviews; launchintel digest,bot4,Colorado
Valr Studios Photography,45973bd7-1876-48b1-aaf2-f7ef44f5a180,online,7,2025,"Starts at $3,000","Photojournalistic style starting around $3,000. Description leans on connection and emotional pacing rather than posed shot lists, which suggests a documentary approach to how they shoot the day.","Colorado Springs based. The photojournalistic label plus the emphasis on emotional pacing makes it sound like they are chasing real moments over staged ones, which is worth knowing going in if you want more posed portraits than that. $3,000 starting price puts them solidly mid-range for the area.",,google reviews; launchintel digest,bot5,Colorado
Whitney Rae Photography,e127dd2a-aacf-4b38-b38e-f49fb4898975,online,1,2026,Quote only,no pricing found published anywhere so you'd need to inquire directly for rates,"-based in Vail which already points to a lot of mountain wedding experience,-also serves destination weddings per our research so she travels beyond her home base,-instagram is @whitneyraephotography for portfolio browsing before you reach out",,google reviews; launchintel digest,bot6,Colorado + destination
